"typ";"quelle_url";"bild_url";"alt_text"
"seiten";"https://www.deinbier-allgaeu.de/1523-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2026/06/Logo-DeinBier-1024x1024.jpg";"<ALT LEER>"
"seiten";"https://www.deinbier-allgaeu.de/1523-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2026/06/Logo-sechseck_250.png";"<ALT LEER>"
"seiten";"https://www.deinbier-allgaeu.de/1523-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2026/06/Montage_Bierflasche-Weizen-684x1024.png";"<ALT LEER>"
"seiten";"https://www.deinbier-allgaeu.de/1523-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2026/06/SSM-Logo_weiss-659x1024.png";"<ALT LEER>"
"seiten";"https://www.deinbier-allgaeu.de/1523-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2026/06/Wild-Schick-1024x946.png";"<ALT LEER>"
"seiten";"https://www.deinbier-allgaeu.de/1523-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2026/07/DSC_4172-400x250.jpg";"10 Jahre DEIN BIER"
"seiten";"https://www.deinbier-allgaeu.de/brauseminar-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2021/03/Brauerei-Mobil.jpg";"Auch außer Haus bieten wir unsere Brauseminare an"
"seiten";"https://www.deinbier-allgaeu.de/brauseminar-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2021/04/Etikette-Bartaxt.jpg";"Individualisierung von selbstgebrauten Bier"
"seiten";"https://www.deinbier-allgaeu.de/brauseminar-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2021/04/Etikette-Kraftstoff.jpg";"Individualisierung von selbstgebrauten Bier"
"seiten";"https://www.deinbier-allgaeu.de/brauseminar-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2021/04/Etikette-Physio.jpg";"Individualisierung von selbstgebrauten Bier"
"seiten";"https://www.deinbier-allgaeu.de/brauseminar-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/ablaeutern.jpg";"Die groben Bestandteile der Maische werden abgefiltert."
"seiten";"https://www.deinbier-allgaeu.de/brauseminar-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/ansatz.jpg";"Hier wird das Malzschrot im Maischebottich mit Wasser vermischt und alles erhitzt."
"seiten";"https://www.deinbier-allgaeu.de/brauseminar-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/hopfen.jpg";"Nachdem sich die Sudpfanne nahezu gefüllt hat wird es Zeit für die erste Hopfengabe"
"seiten";"https://www.deinbier-allgaeu.de/brauseminar-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/hopfen1.jpg";"Nachdem sich die Sudpfanne nahezu gefüllt hat wird es Zeit für die erste Hopfengabe"
"seiten";"https://www.deinbier-allgaeu.de/brauseminar-2/";"https://www.deinbier-allgaeu.de/wp-content/uploads/2022/01/sud1.jpg";"Fertige Maische im Sudkessel"
